Sentence_id,Text,class_label,processed_text
30313,And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe.,0,know campaign caused questioning worry part many leader across globe
19099,"Now, let's balance the budget and protect Medicare, Medicaid, education and the environment.",0,let balance budget protect medicare medicaid education environment
33964,I'd like to mention one thing.,0,id like mention one thing
16871,I must remind him the Democrats have controlled the Congress for the last twenty-two years and they wrote all the tax bills.,1,must remind democrat controlled congress last twentytwo year wrote tax bill
13150,"And to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.",0,take chance uh make every effort could make provide control weapon think would great mistake
13386,"Well, what he is saying there in effect, we're going to have inflation.",0,well saying effect going inflation
28916,I'm proud of the fact that violent crime is down in the State of Texas.,1,im proud fact violent crime state texas
10612,"You know, you may have seen your health care premiums go up.",0,know may seen health care premium go
22058,"If we're $4 trillion down, we should have everything perfect, but we don't.",1,trillion everything perfect dont
18005,And I made some tough decisions.,0,made tough decision
20688,"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.",1,served eight year house representative served intelligence committee specialized looking arm control
14618,"I think -- you know, I'm starting to understand it.",0,think know im starting understand
32025,"But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing.",1,talk apology think one really apologizing thing apologizing email deleted acid washed two box email thing last week taken office missing
19916,There won't be 10 millionaires and 14 lawyers in the cabinet.,0,wont millionaire lawyer cabinet
8355,His experience has been different from mine.,0,experience different mine
29499,And we better be awfully careful.,0,better awfully careful
10170,"That's what we need more of, Candy.",0,thats need candy
17507,"And if it's rape, how do you draw moral judgments on that?",0,rape draw moral judgment
20839,And many of the public schools are meeting the call.,1,many public school meeting call
5733,"But when it comes to economic policies, essentially what you're proposing is eight more years of the same thing.",0,come economic policy essentially youre proposing eight year thing
9481,"And that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase.",1,mean percent american family percent small business see tax increase
2903,"So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy.",0,way restore strength country dont require long experience foreign policy
2110,"And, finally, Medicaid to states?",0,finally medicaid state
3187,"What is more moral than peace, and the United States is at peace today?",0,moral peace united state peace today
21897,They concluded that my plan would cover everybody and his would leave 27 million behind by the year 2000 and that my plan in the next 12 years would save $2.2 trillion in public and private money to reinvest in this economy and the average family would save $1200 a year under the plan that I offered without any erosion in the quality of health care,1,concluded plan would cover everybody would leave million behind year plan next year would save trillion public private money reinvest economy average family would save year plan offered without erosion quality health care
182,What I will do is permit people to buy into Medicaid.,0,permit people buy medicaid
26427,"Because we've had tough aggressive trade policies, and because we've got interest rates down.",1,weve tough aggressive trade policy weve got interest rate
14106,"On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done.",1,nd debate offered since side want enterprise zone cant get together said ill take day go washington hold hand well get done
1017,Now we will probably need to increase that to same extent.,0,probably need increase extent
1072,"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.",0,make pledge next ten day asking american people make one important decision lifetime think election one mast vital history america uh together stimulate voter participation
20158,They're the ones who have the challenges and they are people out there making predictions that it's not going to be the same.,0,theyre one challenge people making prediction going
14683,"I really can't believe Mr. Bush is still trying to make trust an issue after ""read my lips"" and 15 million new jobs and embracing what he called voodoo economics and embracing an export enhancement program for farmers he threatened to veto and going all around the country giving out money in programs that he once opposed.",1,really cant believe mr bush still trying make trust issue read lip million new job embracing called voodoo economics embracing export enhancement program farmer threatened veto going around country giving money program opposed
13343,One of the additional powers that I would suggest would be seizure.,0,one additional power would suggest would seizure
13640,"This is going to take fair, shared sacrifice.",0,going take fair shared sacrifice
27204,"And for that to happen, we have to strengthen our economy here at home.",0,happen strengthen economy home
17582,"And, as a matter of fact, it just so happens that in the quirks of administering these taxes, those above $50,000 actually did not get quite as big a tax cut percentage-wise as did those from 50,000 down.",1,matter fact happens quirk administering tax actually get quite big tax cut percentagewise
171,"We've had enough of that, ladies and gentlemen.",0,weve enough lady gentleman
